city;aqi;timestamp;carbon_intensity;hour;day_of_week;is_weekend;aqi_category;carbon_intensity_category;co_aqi;dew_aqi;h_aqi;no2_aqi;o3_aqi;p_aqi;pm10_aqi;pm25_aqi;so2_aqi;t_aqi;w_aqi;dominant_pollutant;season;aqi_rolling_3h;carbon_intensity_rolling_3h;co_aqi_rolling_3h;dew_aqi_rolling_3h;h_aqi_rolling_3h;no2_aqi_rolling_3h;o3_aqi_rolling_3h;p_aqi_rolling_3h;pm10_aqi_rolling_3h;pm25_aqi_rolling_3h;so2_aqi_rolling_3h;t_aqi_rolling_3h;w_aqi_rolling_3h;aqi_rolling_6h;carbon_intensity_rolling_6h;co_aqi_rolling_6h;dew_aqi_rolling_6h;h_aqi_rolling_6h;no2_aqi_rolling_6h;o3_aqi_rolling_6h;p_aqi_rolling_6h;pm10_aqi_rolling_6h;pm25_aqi_rolling_6h;so2_aqi_rolling_6h;t_aqi_rolling_6h;w_aqi_rolling_6h;aqi_rolling_12h;carbon_intensity_rolling_12h;co_aqi_rolling_12h;dew_aqi_rolling_12h;h_aqi_rolling_12h;no2_aqi_rolling_12h;o3_aqi_rolling_12h;p_aqi_rolling_12h;pm10_aqi_rolling_12h;pm25_aqi_rolling_12h;so2_aqi_rolling_12h;t_aqi_rolling_12h;w_aqi_rolling_12h;aqi_rolling_24h;carbon_intensity_rolling_24h;co_aqi_rolling_24h;dew_aqi_rolling_24h;h_aqi_rolling_24h;no2_aqi_rolling_24h;o3_aqi_rolling_24h;p_aqi_rolling_24h;pm10_aqi_rolling_24h;pm25_aqi_rolling_24h;so2_aqi_rolling_24h;t_aqi_rolling_24h;w_aqi_rolling_24h
Sakarya;19;2024-08-18 05:10:24.359760;468;5;6;1;Good;Very High;8;15;100;15;28,7;1010;19;41;3,5;15;1;p;Summer;19;468;8;15;100;15;28,7;1010;19;41;3,5;15;1;19;468;8;15;100;15;28,7;1010;19;41;3,5;15;1;19;468;8;15;100;15;28,7;1010;19;41;3,5;15;1;19;468;8;15;100;15;28,7;1010;19;41;3,5;15;1
Sakarya;19;2024-08-18 05:10:54.365218;468;5;6;1;Good;Very High;8;15;100;15;28,7;1010;19;41;3,5;15;1;p;Summer;19;468;8;15;100;15;28,7;1010;19;41;3,5;15;1;19;468;8;15;100;15;28,7;1010;19;41;3,5;15;1;19;468;8;15;100;15;28,7;1010;19;41;3,5;15;1;19;468;8;15;100;15;28,7;1010;19;41;3,5;15;1
